name,id,lat,lon,adm_level,state_filter
Um Baru,110,15.346977,24.163569,Locality,North Darfur
Um Dukhun,111,11.374759,23.094016,Locality,Central Darfur
Wadi Salih,112,12.414903,23.31342,Locality,Central Darfur
Wasat Jabal Marrah,113,13.138674,24.276752,Locality,Central Darfur
Zalingi,114,13.046634,23.537915,Locality,Central Darfur
Abu Jabrah,115,10.9356,26.79963,Locality,East Darfur
Abu Karinka,116,11.59401,26.55873,Locality,East Darfur
Ad Du'ayn,117,11.42031,26.20074,Locality,East Darfur
Adila,118,11.43547,27.00871,Locality,East Darfur
Al Firdous,119,10.92772,25.9059,Locality,East Darfur
Assalaya,120,11.672855,25.992083,Locality,East Darfur
Bahr Al Arab,121,10.231793,26.701278,Locality,East Darfur
Dar As Salam,122,13.183605,25.319644,Locality,North Darfur
Shia'ria,123,12.532951,25.693837,Locality,East Darfur
Yassin,124,11.845257,25.577187,Locality,East Darfur
As Sunut,125,12.025664,28.908089,Locality,West Kordofan
Al Fasher,126,13.779,25.37041,Locality,North Darfur
Al Koma,127,14.09588,27.28825,Locality,North Darfur
Kateila,128,11.030976,24.286542,Locality,South Darfur
Jebel Moon,129,14.057811,22.878224,Locality,West Darfur
Kelemando,130,13.131685,25.969161,Locality,North Darfur
Kernoi,131,15.001922,23.532342,Locality,North Darfur
Al Kurmuk,132,10.526217,34.112256,Locality,Blue Nile
Wad Al Mahi,133,11.607414,34.782122,Locality,Blue Nile
Gala'a Al Nahal,134,13.335568,35.103673,Locality,Gedaref
Reifi Khashm Elgirba,135,15.744422,34.99398,Locality,Kassala
Bahri,136,15.998119,32.801408,Locality,Khartoum
Um Durman,137,15.447412,32.350618,Locality,Khartoum
Khartoum,138,15.552506,32.561114,Locality,Khartoum
Dongola,139,19.233941,29.637782,Locality,Northern
Haya,140,18.094982,36.242429,Locality,Red Sea
Abu Hamad,141,20.16364,33.218942,Locality,River Nile
Tendalti,142,12.967541,32.027342,Locality,White Nile
Abu Kershola,143,12.014373,30.801127,Locality,South Kordofan
Abu Zabad,144,12.645239,29.306019,Locality,West Kordofan
Abyei,145,10.833424,27.684931,Locality,West Kordofan
Al Dibab,146,10.305377,28.746786,Locality,West Kordofan
Al Idia,147,11.93892,27.906768,Locality,West Kordofan
Al Khiwai,148,13.301541,28.995984,Locality,West Kordofan
Al Lagowa,149,11.353771,28.947703,Locality,West Kordofan
