origin,dest,count,year
6,72,500,2026
7,72,1290,2026
1,73,1050,2026
7,73,550,2026
1,74,105,2026
3,74,15,2026
7,74,18526,2026
8,74,535,2026
9,74,915,2026
15,74,170,2026
17,74,375,2026
18,74,90,2026
1,75,515,2026
7,75,21873,2026
8,75,937,2026
9,75,4908,2026
14,75,5,2026
15,75,243,2026
16,75,6,2026
17,75,380,2026
18,75,222,2026
1,76,2949,2026
2,76,5,2026
3,76,2325,2026
4,76,1140,2026
7,76,62600,2026
8,76,16655,2026
9,76,22144,2026
12,76,10,2026
13,76,1041,2026
14,76,2152,2026
15,76,2082,2026
16,76,643,2026
17,76,2798,2026
18,76,902,2026
1,77,4739,2026
7,77,24948,2026
8,77,30,2026
9,77,257,2026
13,77,55,2026
15,77,465,2026
17,77,385,2026
1,78,4300,2026
2,78,15,2026
3,78,292,2026
4,78,1640,2026
7,78,28929,2026
8,78,11452,2026
9,78,28733,2026
13,78,160,2026
14,78,763,2026
15,78,4095,2026
16,78,1600,2026
17,78,3372,2026
18,78,1565,2026
1,79,965,2026
2,79,500,2026
7,79,30646,2026
8,79,8195,2026
9,79,10202,2026
13,79,50,2026
14,79,680,2026
15,79,2065,2026
17,79,2385,2026
18,79,500,2026
7,80,100,2026
8,80,171453,2026
7,81,25,2026
8,81,37015,2026
14,81,165,2026
4,82,3908,2026
7,82,2886,2026
8,82,5422,2026
9,82,2649,2026
14,82,2862,2026
16,82,35,2026
8,83,106246,2026
3,84,300,2026
7,84,20,2026
8,84,7300,2026
14,84,245,2026
16,84,420,2026
8,85,5473,2026
15,85,5,2026
4,86,3,2026
8,86,142521,2026
14,86,23312,2026
3,87,2970,2026
7,87,1850,2026
8,87,116705,2026
14,87,2165,2026
16,87,5700,2026
7,88,70,2026
8,88,21863,2026
14,88,470,2026
7,89,20,2026
8,89,11735,2026
14,89,115,2026
16,89,15,2026
3,90,20,2026
7,90,365,2026
8,90,148910,2026
14,90,150,2026
16,90,10,2026
8,91,66903,2026
14,91,45,2026
3,92,19087,2026
7,92,850,2026
8,92,39923,2026
14,92,4285,2026
16,92,4560,2026
3,93,4638,2026
7,93,715,2026
8,93,693073,2026
14,93,8809,2026
3,94,10,2026
7,94,30,2026
8,94,21067,2026
14,94,65,2026
8,95,31015,2026
2,58,519,2026
7,58,21368,2026
9,58,16530,2026
15,58,7151,2026
