name,id,code,lat,lon,adm_level,state_filter
Um Kadadah,95,SD02136,13.487833,26.880716,Locality,North Darfur
Ar Rahad,96,SD13030,13.233515,34.808656,Locality,North Kordofan
Bara,97,SD13026,14.050263,30.906266,Locality,North Kordofan
Gebrat Al Sheikh,98,SD13027,15.403081,30.910448,Locality,North Kordofan
Gharb Bara,99,SD13029,13.924252,29.676256,Locality,North Kordofan
Sheikan,100,SD13024,13.074924,30.061859,Locality,North Kordofan
Soudari,101,SD13025,15.376297,28.509012,Locality,North Kordofan
Um Dam Haj Ahmed,102,SD13028,13.669057,30.824667,Locality,North Kordofan
Um Rawaba,103,SD13023,13.155361,31.372576,Locality,North Kordofan
Ad Dabbah,104,SD17019,17.231144,30.689276,Locality,Northern
Al Burgaig,105,SD17016,19.592873,30.655079,Locality,Northern
Al Golid,106,SD17018,17.854741,28.928065,Locality,Northern
Delgo,107,SD17015,20.130977,29.061767,Locality,Northern
Dongola,108,SD17017,19.233941,29.637782,Locality,Northern
Halfa,109,SD17014,21.2419,28.700439,Locality,Northern
Merwoe,110,SD17020,18.33174,31.968329,Locality,Northern
Agig,111,SD10072,17.890106,37.985633,Locality,Red Sea
Al Ganab,112,SD10069,19.550798,35.147386,Locality,Red Sea
Dordieb,113,SD10063,17.535641,35.883005,Locality,Red Sea
Hala'ib,114,SD10066,21.765717,35.906454,Locality,Red Sea
Haya,115,SD10070,18.094982,36.242429,Locality,Red Sea
Jubayt Elma'aadin,116,SD10067,21.133124,34.946642,Locality,Red Sea
Port Sudan,117,SD10064,19.508626,37.209322,Locality,Red Sea
Sawakin,118,SD10068,19.004451,37.240975,Locality,Red Sea
Sinkat,119,SD10071,18.889487,36.661004,Locality,Red Sea
Tawkar,120,SD10065,17.997189,37.394726,Locality,Red Sea
Abu Hamad,121,SD16008,20.16364,33.218942,Locality,River Nile
Ad Damar,122,SD16011,17.121049,34.259104,Locality,River Nile
Al Buhaira,123,SD16014,19.910568,32.606046,Locality,River Nile
Al Matama,124,SD16009,16.726159,32.7084,Locality,River Nile
Atbara,125,SD16012,17.853429,32.913587,Locality,River Nile
Barbar,126,SD16013,18.148134,33.734758,Locality,River Nile
Shendi,127,SD16010,16.430402,33.692223,Locality,River Nile
Abu Hujar,128,SD14037,12.612193,33.89529,Locality,Sennar
Ad Dali,129,SD14039,12.526733,33.438086,Locality,Sennar
Ad Dinder,130,SD14040,12.735365,34.803236,Locality,Sennar
As Suki,131,SD14041,12.91538,34.141804,Locality,Sennar
Sennar,132,SD14038,13.539079,33.24522,Locality,Sennar
Sharg Sennar,133,SD14042,13.761927,33.846929,Locality,Sennar
Sinja,134,SD14043,13.137546,33.740814,Locality,Sennar
Al Radoum,135,SD03141,9.704639,24.238636,Locality,South Darfur
Al Wihda,136,SD03150,12.863599,24.983601,Locality,South Darfur
As Salam - SD,137,SD03166,11.648242,24.764545,Locality,South Darfur
As Sunta,138,SD03156,10.660952,25.577011,Locality,South Darfur
Beliel,139,SD03162,11.948623,25.132568,Locality,South Darfur
Buram,140,SD03161,10.705195,25.093828,Locality,South Darfur
Damso,141,SD03172,10.778127,24.514846,Locality,South Darfur
Ed Al Fursan,142,SD03143,11.680975,24.333004,Locality,South Darfur
Gereida,143,SD03153,11.133086,25.368702,Locality,South Darfur
Kas,144,SD03144,12.474009,24.179044,Locality,South Darfur
Kateila,145,SD03159,11.030976,24.286542,Locality,South Darfur
Kubum,146,SD03157,11.776744,23.939006,Locality,South Darfur
Mershing,147,SD03145,12.553172,24.982087,Locality,South Darfur
Nitega,148,SD03151,12.57805,25.271605,Locality,South Darfur
Nyala Janoub,149,SD03167,12.022886,24.825308,Locality,South Darfur
Nyala Shimal,150,SD03164,12.400029,24.716581,Locality,South Darfur
Rehaid Albirdi,151,SD03158,11.01135,23.560735,Locality,South Darfur
Sharg Aj Jabal,152,SD03147,12.875603,24.488907,Locality,South Darfur
Shattaya,153,SD03154,12.286252,23.870208,Locality,South Darfur
Tulus,154,SD03149,11.233746,24.946552,Locality,South Darfur
Um Dafoug,155,SD03146,10.553461,23.76361,Locality,South Darfur
Abassiya,156,SD07090,12.321521,31.300937,Locality,South Kordofan
Abu Jubayhah,157,SD07088,11.148388,31.725415,Locality,South Kordofan
Abu Kershola,158,SD07104,12.014373,30.801127,Locality,South Kordofan
Al Leri,159,SD07105,10.130087,30.837483,Locality,South Kordofan
Al Quoz,160,SD07094,12.46781,29.924219,Locality,South Kordofan
Ar Rashad,161,SD07093,11.785499,31.091876,Locality,South Kordofan
Ar Reif Ash Shargi,162,SD07097,11.260003,29.853661,Locality,South Kordofan
At Tadamon - SK,163,SD07106,12.052538,31.679317,Locality,South Kordofan
Delami,164,SD07107,11.640414,30.325102,Locality,South Kordofan
Dilling,165,SD07095,11.931878,29.526205,Locality,South Kordofan
Ghadeer,166,SD07108,10.705333,31.107582,Locality,South Kordofan
Habila - SK,167,SD07103,11.983229,30.059404,Locality,South Kordofan
Kadugli,168,SD07098,11.061683,29.582842,Locality,South Kordofan
Talawdi,169,SD07089,10.555725,30.405758,Locality,South Kordofan
Ag Geneina,170,SD04115,13.35858,22.35312,Locality,West Darfur
Beida,171,SD04111,12.887752,22.042525,Locality,West Darfur
Foro Baranga,172,SD04121,12.241949,22.60086,Locality,West Darfur
